period_month,country_code,country_name,headline,core,energy,food,services,non_energy_goods,gap_vs_target,gap_vs_euro_area
2007-06-01,IT,Italy,2.0,1.8,1.3,2.8,2.0,1.6,0.0,0.10000000000000009
2007-10-01,IT,Italy,2.3,1.9,3.0,3.3,2.0,1.8,0.2999999999999998,-0.20000000000000018
2008-09-01,IT,Italy,3.9,2.2,13.5,5.6,3.0,1.4,1.9,0.2999999999999998
2009-01-01,IT,Italy,1.4,1.6,-5.4,3.7,2.3,0.7,-0.6000000000000001,0.2999999999999998
2009-02-01,IT,Italy,1.6,1.7,-4.7,3.3,2.0,1.2,-0.3999999999999999,0.40000000000000013
2009-03-01,IT,Italy,1.1,1.4,-6.6,3.2,1.5,1.4,-0.8999999999999999,0.5000000000000001
2009-09-01,IT,Italy,0.3,1.6,-11.4,0.9,1.7,1.6,-1.7,0.6
2009-12-01,IT,Italy,1.1,1.6,-2.6,0.9,1.8,1.4,-0.8999999999999999,0.20000000000000007
2010-02-01,IT,Italy,1.0,1.3,0.4,0.7,1.8,0.6,-1.0,0.19999999999999996
2011-04-01,IT,Italy,2.9,2.1,10.6,2.3,2.3,2.0,0.8999999999999999,0.10000000000000009
2011-10-01,IT,Italy,3.7,2.7,13.9,3.2,2.9,2.6,1.7000000000000002,0.7000000000000002
2011-11-01,IT,Italy,3.7,2.6,13.7,3.7,2.7,2.6,1.7000000000000002,0.7000000000000002
2012-04-01,IT,Italy,3.7,2.3,15.6,3.3,2.4,2.2,1.7000000000000002,1.1
2013-01-01,IT,Italy,2.4,1.7,5.4,3.0,2.2,0.6,0.3999999999999999,0.3999999999999999
2013-03-01,IT,Italy,1.8,1.4,3.4,2.0,1.8,1.1,-0.19999999999999996,0.10000000000000009
2013-04-01,IT,Italy,1.2,1.2,-0.9,2.3,1.5,0.7,-0.8,0.0
2014-01-01,IT,Italy,0.6,0.9,-2.2,1.0,1.0,0.5,-1.4,-0.20000000000000007
2014-06-01,IT,Italy,0.3,0.7,-1.3,-0.7,0.7,0.7,-1.7,-0.2
2014-12-01,IT,Italy,0.0,0.7,-5.3,-0.3,0.9,0.4,-2.0,0.2
2015-02-01,IT,Italy,0.1,0.9,-8.4,1.2,0.7,0.5,-1.9,0.4
2015-05-01,IT,Italy,0.2,0.6,-5.8,1.4,0.5,0.8,-1.8,-0.39999999999999997
2016-01-01,IT,Italy,0.4,0.9,-4.1,0.8,0.8,1.2,-1.6,0.10000000000000003
2016-02-01,IT,Italy,-0.2,0.5,-5.5,-0.3,0.4,1.0,-2.2,-0.1
2017-05-01,IT,Italy,1.6,0.9,6.4,1.7,1.4,0.2,-0.3999999999999999,0.20000000000000018
2017-06-01,IT,Italy,1.2,1.0,4.6,0.8,1.6,0.1,-0.8,-0.10000000000000009
2017-10-01,IT,Italy,1.1,0.5,4.1,1.9,0.7,0.1,-0.8999999999999999,-0.2999999999999998
2018-03-01,IT,Italy,0.9,0.7,3.0,0.8,1.0,0.1,-1.1,-0.4999999999999999
2018-12-01,IT,Italy,1.2,0.5,6.7,0.9,1.2,-0.5,-0.8,-0.30000000000000004
2019-08-01,IT,Italy,0.5,0.6,-2.0,1.1,0.9,0.0,-1.5,-0.5
2019-09-01,IT,Italy,0.2,0.5,-2.9,0.8,1.0,-0.2,-1.8,-0.6000000000000001
2019-10-01,IT,Italy,0.2,0.7,-4.8,1.0,1.2,-0.2,-1.8,-0.49999999999999994
